station_id,name,district_id,latitude,longitude,station_code
1,Bengaluru West PS,1,13.044065,77.518068,KA-01-0001
2,Nagpur Rural PS,1,13.02461,77.712254,KA-01-0002
3,Sambalpur Town PS,1,12.831135,77.472709,KA-01-0003
4,Kolhapur Traffic PS,1,12.829561,77.504251,KA-01-0004
5,Bongaigaon West PS,1,12.947456,77.579363,KA-01-0005
6,Gudivada Women PS,1,12.82355,77.686346,KA-01-0006
7,Patna Central PS,1,12.904961,77.509194,KA-01-0007
8,Tiruchirappalli Market PS,1,12.849424,77.473615,KA-01-0008
9,Muzaffarpur Railway PS,1,12.900956,77.457635,KA-01-0009
10,Kishanganj North PS,1,13.113535,77.55816,KA-01-0010
11,Bengaluru South PS,1,13.010192,77.710236,KA-01-0011
12,Bongaigaon Cyber PS,1,13.032972,77.458347,KA-01-0012
13,Muzaffarnagar Traffic PS,1,13.117166,77.701195,KA-01-0013
14,Bengaluru Railway PS,1,12.904992,77.635305,KA-01-0014
15,Bengaluru Cyber PS,1,12.928181,77.645653,KA-01-0015
16,Giridih Central PS,1,13.016011,77.627339,KA-01-0016
17,Chennai Rural PS,1,12.895043,77.583278,KA-01-0017
18,Bhusawal Women PS,1,13.0136,77.611685,KA-01-0018
19,Alwar West PS,1,13.052094,77.461381,KA-01-0019
20,Bengaluru Railway PS,1,12.916236,77.524922,KA-01-0020
21,Thrissur Traffic PS,1,12.991754,77.659974,KA-01-0021
22,Kota Traffic PS,1,12.94029,77.718964,KA-01-0022
23,Bengaluru North PS,1,12.863489,77.668097,KA-01-0023
24,Bengaluru South PS,1,12.996976,77.713947,KA-01-0024
25,Nadiad Economic Offences PS,1,13.120798,77.4861,KA-01-0025
26,Bengaluru North PS,1,12.835735,77.477495,KA-01-0026
27,Bengaluru West PS,1,13.025744,77.623523,KA-01-0027
28,Secunderabad Economic Offences PS,1,13.120436,77.603334,KA-01-0028
29,Mahbubnagar South PS,1,12.825044,77.660817,KA-01-0029
30,Varanasi West PS,1,13.046863,77.67518,KA-01-0030
31,Bengaluru Cyber PS,1,12.95203,77.580717,KA-01-0031
32,Jorhat Central PS,1,12.900617,77.594776,KA-01-0032
33,Burhanpur Rural PS,1,12.853523,77.63219,KA-01-0033
34,Suryapet Railway PS,1,13.004291,77.490452,KA-01-0034
35,Bengaluru Market PS,1,13.10765,77.72133,KA-01-0035
36,Tadipatri City PS,1,12.968182,77.47816,KA-01-0036
37,Gangtok Cyber PS,1,13.0711,77.536854,KA-01-0037
38,Bengaluru City PS,1,12.991807,77.468227,KA-01-0038
39,Coimbatore Central PS,1,12.842364,77.672781,KA-01-0039
40,Bengaluru Market PS,1,13.019525,77.728655,KA-01-0040
41,Bengaluru Rural PS,1,13.08333,77.571541,KA-01-0041
42,Ambattur Traffic PS,1,13.04818,77.65156,KA-01-0042
43,Vijayawada Central PS,1,13.120145,77.639563,KA-01-0043
44,Salem North PS,1,12.957046,77.518972,KA-01-0044
45,Alwar Town PS,1,12.998093,77.513634,KA-01-0045
46,Bengaluru Traffic PS,1,13.033952,77.462262,KA-01-0046
47,Bharatpur Town PS,1,13.079491,77.465857,KA-01-0047
48,Bengaluru Traffic PS,1,12.967224,77.60637,KA-01-0048
49,Uluberia Central PS,1,12.992913,77.586401,KA-01-0049
50,Bhagalpur Market PS,1,12.943718,77.472898,KA-01-0050
51,Madurai West PS,1,12.948674,77.584707,KA-01-0051
52,Bengaluru Central PS,1,13.017637,77.638454,KA-01-0052
53,Deoghar City PS,1,12.923391,77.703102,KA-01-0053
54,Bengaluru Traffic PS,1,12.982486,77.486655,KA-01-0054
55,Bengaluru Rural PS,1,12.896542,77.72158,KA-01-0055
56,Ujjain North PS,1,13.07839,77.473973,KA-01-0056
57,Nadiad West PS,1,13.072408,77.735299,KA-01-0057
58,Proddatur Market PS,1,12.871493,77.590292,KA-01-0058
59,Anantapur Traffic PS,1,13.092333,77.493991,KA-01-0059
60,Berhampur City PS,1,12.901161,77.679821,KA-01-0060
61,Bengaluru North PS,1,13.030577,77.663752,KA-01-0061
62,Satna Market PS,1,13.037122,77.491039,KA-01-0062
63,Bengaluru Women PS,1,12.839145,77.665321,KA-01-0063
64,Agartala City PS,1,12.83875,77.619853,KA-01-0064
65,Rajpur Sonarpur South PS,1,12.980938,77.461664,KA-01-0065
66,Bengaluru South PS,1,12.877347,77.623111,KA-01-0066
67,Rajpur Sonarpur West PS,1,12.942733,77.727079,KA-01-0067
68,Bengaluru East PS,1,12.999956,77.630414,KA-01-0068
69,Tenali Economic Offences PS,1,12.991168,77.539511,KA-01-0069
70,Bengaluru Women PS,1,13.036458,77.516206,KA-01-0070
71,Bengaluru Economic Offences PS,1,13.01525,77.581767,KA-01-0071
72,Asansol Market PS,1,12.824395,77.630948,KA-01-0072
73,Kolhapur East PS,1,12.843578,77.508546,KA-01-0073
74,Bengaluru Women PS,1,12.926303,77.465237,KA-01-0074
75,Kishanganj Traffic PS,1,12.868924,77.694723,KA-01-0075
76,Bhimavaram Central PS,1,13.116756,77.68673,KA-01-0076
77,Bengaluru South PS,1,13.066731,77.534414,KA-01-0077
78,Bengaluru West PS,1,13.085038,77.52394,KA-01-0078
79,Ballia Town PS,1,12.868234,77.529127,KA-01-0079
80,Mirzapur Traffic PS,1,12.882679,77.634871,KA-01-0080
